years,records,search_engine,publication,technology
2013,3,WOS,KB,NE
2014,2,WOS,KB,NE
2015,4,WOS,KB,NE
2016,2,WOS,KB,NE
1998,2,WOS,A,NE
1999,3,WOS,A,NE
2000,5,WOS,A,NE
2001,4,WOS,A,NE
2002,23,WOS,A,NE
2003,26,WOS,A,NE
2004,55,WOS,A,NE
2005,55,WOS,A,NE
2006,77,WOS,A,NE
2007,82,WOS,A,NE
2008,104,WOS,A,NE
2009,129,WOS,A,NE
2010,111,WOS,A,NE
2011,92,WOS,A,NE
2012,88,WOS,A,NE
2013,66,WOS,A,NE
2014,79,WOS,A,NE
2015,72,WOS,A,NE
2016,97,WOS,A,NE
2017,81,WOS,A,NE
2018,60,WOS,A,NE
2015,2,WOS,A,MDC
2016,0,WOS,A,MDC
2017,4,WOS,A,MDC
2018,4,WOS,A,MDC
1990,3,WOS,KB,ML
1991,9,WOS,KB,ML
1992,4,WOS,KB,ML
1993,6,WOS,KB,ML
1994,12,WOS,KB,ML
1995,25,WOS,KB,ML
1996,17,WOS,KB,ML
1997,55,WOS,KB,ML
1998,47,WOS,KB,ML
1999,56,WOS,KB,ML
2000,82,WOS,KB,ML
2001,81,WOS,KB,ML
2002,142,WOS,KB,ML
2003,206,WOS,KB,ML
2004,279,WOS,KB,ML
2005,373,WOS,KB,ML
2006,382,WOS,KB,ML
2007,90,WOS,KB,ML
2008,95,WOS,KB,ML
2009,78,WOS,KB,ML
2010,64,WOS,KB,ML
2011,57,WOS,KB,ML
2012,35,WOS,KB,ML
2013,61,WOS,KB,ML
2014,59,WOS,KB,ML
2015,132,WOS,KB,ML
2016,164,WOS,KB,ML
2017,126,WOS,KB,ML
2018,126,WOS,KB,ML
1959,1,WOS,A,ML
1960,0,WOS,A,ML
1961,0,WOS,A,ML
1962,1,WOS,A,ML
1963,1,WOS,A,ML
1964,1,WOS,A,ML
1965,0,WOS,A,ML
1966,1,WOS,A,ML
1967,2,WOS,A,ML
1968,1,WOS,A,ML
1969,1,WOS,A,ML
1970,2,WOS,A,ML
1971,0,WOS,A,ML
1972,0,WOS,A,ML
1973,1,WOS,A,ML
1974,1,WOS,A,ML
1975,1,WOS,A,ML
1976,1,WOS,A,ML
1977,0,WOS,A,ML
1978,0,WOS,A,ML
1979,0,WOS,A,ML
1980,0,WOS,A,ML
1981,0,WOS,A,ML
1982,0,WOS,A,ML
1983,0,WOS,A,ML
1984,2,WOS,A,ML
1985,2,WOS,A,ML
1986,6,WOS,A,ML
1987,4,WOS,A,ML
1988,8,WOS,A,ML
1989,14,WOS,A,ML
1990,20,WOS,A,ML
1991,49,WOS,A,ML
1992,77,WOS,A,ML
1993,89,WOS,A,ML
1994,110,WOS,A,ML
1995,131,WOS,A,ML
1996,131,WOS,A,ML
1997,173,WOS,A,ML
1998,181,WOS,A,ML
1999,197,WOS,A,ML
2000,235,WOS,A,ML
2001,235,WOS,A,ML
2002,310,WOS,A,ML
2003,442,WOS,A,ML
2004,595,WOS,A,ML
2005,776,WOS,A,ML
2006,936,WOS,A,ML
2007,635,WOS,A,ML
2008,845,WOS,A,ML
2009,1023,WOS,A,ML
2010,1154,WOS,A,ML
2011,1366,WOS,A,ML
2012,1547,WOS,A,ML
2013,1990,WOS,A,ML
2014,2353,WOS,A,ML
2015,3232,WOS,A,ML
2016,4212,WOS,A,ML
2017,5580,WOS,A,ML
2018,4467,WOS,A,ML
1997,1,WOS,KB,GCD
1998,0,WOS,KB,GCD
1999,0,WOS,KB,GCD
2000,0,WOS,KB,GCD
2001,1,WOS,KB,GCD
2002,1,WOS,KB,GCD
2003,0,WOS,KB,GCD
2004,0,WOS,KB,GCD
2005,0,WOS,KB,GCD
2006,0,WOS,KB,GCD
2007,0,WOS,KB,GCD
2008,0,WOS,KB,GCD
2009,0,WOS,KB,GCD
2010,0,WOS,KB,GCD
2011,0,WOS,KB,GCD
2012,0,WOS,KB,GCD
2013,0,WOS,KB,GCD
2014,0,WOS,KB,GCD
2015,1,WOS,KB,GCD
2016,0,WOS,KB,GCD
2017,0,WOS,KB,GCD
2018,1,WOS,KB,GCD
1996,1,WOS,A,GCD
1997,2,WOS,A,GCD
1998,0,WOS,A,GCD
1999,0,WOS,A,GCD
2000,0,WOS,A,GCD
2001,1,WOS,A,GCD
2002,1,WOS,A,GCD
2003,1,WOS,A,GCD
2004,1,WOS,A,GCD
2005,0,WOS,A,GCD
2006,0,WOS,A,GCD
2007,0,WOS,A,GCD
2008,0,WOS,A,GCD
2009,1,WOS,A,GCD
2010,0,WOS,A,GCD
2011,1,WOS,A,GCD
2012,5,WOS,A,GCD
2013,3,WOS,A,GCD
2014,11,WOS,A,GCD
2015,16,WOS,A,GCD
2016,23,WOS,A,GCD
2017,16,WOS,A,GCD
2018,6,WOS,A,GCD
1999,1,WOS,KB,CH
2000,0,WOS,KB,CH
2001,0,WOS,KB,CH
2002,2,WOS,KB,CH
2003,1,WOS,KB,CH
2004,16,WOS,KB,CH
2005,8,WOS,KB,CH
2006,23,WOS,KB,CH
2007,3,WOS,KB,CH
2008,4,WOS,KB,CH
2009,1,WOS,KB,CH
2010,3,WOS,KB,CH
2011,3,WOS,KB,CH
2012,1,WOS,KB,CH
2013,1,WOS,KB,CH
2014,2,WOS,KB,CH
2015,7,WOS,KB,CH
2016,7,WOS,KB,CH
2017,16,WOS,KB,CH
2018,6,WOS,KB,CH
1993,1,WOS,A,CH
1994,1,WOS,A,CH
1995,1,WOS,A,CH
1996,0,WOS,A,CH
1997,3,WOS,A,CH
1998,1,WOS,A,CH
1999,1,WOS,A,CH
2000,3,WOS,A,CH
2001,1,WOS,A,CH
2002,13,WOS,A,CH
2003,6,WOS,A,CH
2004,24,WOS,A,CH
2005,16,WOS,A,CH
2006,47,WOS,A,CH
2007,26,WOS,A,CH
2008,28,WOS,A,CH
2009,47,WOS,A,CH
2010,48,WOS,A,CH
2011,72,WOS,A,CH
2012,96,WOS,A,CH
2013,120,WOS,A,CH
2014,140,WOS,A,CH
2015,203,WOS,A,CH
2016,244,WOS,A,CH
2017,370,WOS,A,CH
2018,242,WOS,A,CH
1987,1,WOS,A,CEA
1988,0,WOS,A,CEA
1989,0,WOS,A,CEA
1990,0,WOS,A,CEA
1991,0,WOS,A,CEA
1992,0,WOS,A,CEA
1993,0,WOS,A,CEA
1994,0,WOS,A,CEA
1995,0,WOS,A,CEA
1996,0,WOS,A,CEA
1997,0,WOS,A,CEA
1998,1,WOS,A,CEA
2017,5,WOS,KB,B
2018,1,WOS,KB,B
2015,1,WOS,A,B
2016,28,WOS,A,B
2017,155,WOS,A,B
2018,152,WOS,A,B
1994,3,WOS,KB,AV
1995,2,WOS,KB,AV
1996,2,WOS,KB,AV
1997,2,WOS,KB,AV
1998,5,WOS,KB,AV
1999,3,WOS,KB,AV
2000,4,WOS,KB,AV
2001,4,WOS,KB,AV
2002,6,WOS,KB,AV
2003,11,WOS,KB,AV
2004,13,WOS,KB,AV
2005,17,WOS,KB,AV
2006,11,WOS,KB,AV
2007,4,WOS,KB,AV
2008,4,WOS,KB,AV
2009,12,WOS,KB,AV
2010,4,WOS,KB,AV
2011,3,WOS,KB,AV
2012,5,WOS,KB,AV
2013,1,WOS,KB,AV
2014,1,WOS,KB,AV
2015,4,WOS,KB,AV
2016,4,WOS,KB,AV
2017,8,WOS,KB,AV
2018,9,WOS,KB,AV
1982,1,WOS,A,AV
1983,0,WOS,A,AV
1984,4,WOS,A,AV
1985,1,WOS,A,AV
1986,2,WOS,A,AV
1987,4,WOS,A,AV
1988,0,WOS,A,AV
1989,1,WOS,A,AV
1990,3,WOS,A,AV
1991,12,WOS,A,AV
1992,4,WOS,A,AV
1993,5,WOS,A,AV
1994,19,WOS,A,AV
1995,16,WOS,A,AV
1996,19,WOS,A,AV
1997,21,WOS,A,AV
1998,39,WOS,A,AV
1999,21,WOS,A,AV
2000,24,WOS,A,AV
2001,27,WOS,A,AV
2002,33,WOS,A,AV
2003,32,WOS,A,AV
2004,38,WOS,A,AV
2005,44,WOS,A,AV
2006,46,WOS,A,AV
2007,50,WOS,A,AV
2008,50,WOS,A,AV
2009,71,WOS,A,AV
2010,80,WOS,A,AV
2011,80,WOS,A,AV
2012,113,WOS,A,AV
2013,91,WOS,A,AV
2014,117,WOS,A,AV
2015,176,WOS,A,AV
2016,237,WOS,A,AV
2017,361,WOS,A,AV
2018,260,WOS,A,AV
