years,records,search_engine,publication,technology
1987,17,ACM,KB,ML
1988,66,ACM,KB,ML
1989,163,ACM,KB,ML
1990,72,ACM,KB,ML
1991,249,ACM,KB,ML
1992,150,ACM,KB,ML
1993,188,ACM,KB,ML
1994,182,ACM,KB,ML
1995,218,ACM,KB,ML
1996,134,ACM,KB,ML
1997,207,ACM,KB,ML
1998,242,ACM,KB,ML
1999,182,ACM,KB,ML
2000,401,ACM,KB,ML
2001,447,ACM,KB,ML
2002,444,ACM,KB,ML
2003,426,ACM,KB,ML
2004,522,ACM,KB,ML
2005,1288,ACM,KB,ML
2006,1069,ACM,KB,ML
2007,1306,ACM,KB,ML
2008,1566,ACM,KB,ML
2009,2052,ACM,KB,ML
2010,2027,ACM,KB,ML
2011,1996,ACM,KB,ML
2012,2350,ACM,KB,ML
2013,2136,ACM,KB,ML
2014,1854,ACM,KB,ML
2015,2261,ACM,KB,ML
2016,1536,ACM,KB,ML
2017,1466,ACM,KB,ML
2018,946,ACM,KB,ML
1959,1,ACM,A,ML
1960,0,ACM,A,ML
1961,2,ACM,A,ML
1962,0,ACM,A,ML
1963,0,ACM,A,ML
1964,0,ACM,A,ML
1965,0,ACM,A,ML
1966,0,ACM,A,ML
1967,1,ACM,A,ML
1968,1,ACM,A,ML
1969,0,ACM,A,ML
1970,4,ACM,A,ML
1971,0,ACM,A,ML
1972,0,ACM,A,ML
1973,3,ACM,A,ML
1974,0,ACM,A,ML
1975,1,ACM,A,ML
1976,1,ACM,A,ML
1977,2,ACM,A,ML
1978,1,ACM,A,ML
1979,0,ACM,A,ML
1980,0,ACM,A,ML
1981,2,ACM,A,ML
1982,0,ACM,A,ML
1983,1,ACM,A,ML
1984,1,ACM,A,ML
1985,0,ACM,A,ML
1986,26,ACM,A,ML
1987,18,ACM,A,ML
1988,38,ACM,A,ML
1989,49,ACM,A,ML
1990,36,ACM,A,ML
1991,47,ACM,A,ML
1992,65,ACM,A,ML
1993,99,ACM,A,ML
1994,115,ACM,A,ML
1995,108,ACM,A,ML
1996,95,ACM,A,ML
1997,125,ACM,A,ML
1998,154,ACM,A,ML
1999,140,ACM,A,ML
2000,143,ACM,A,ML
