years,records
1988,1
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,1
1996,1
1997,2
1998,2
1999,5
2000,8
2001,6
2002,11
2003,10
2004,16
2005,16
2006,25
2007,38
2008,64
2009,50
2010,55
2011,54
2012,58
2013,58
2014,49
2015,71
2016,70
2017,76
2018,16
