years,records
1990,1
1991,0
1992,0
1993,0
1994,1
1995,1
1996,0
1997,1
1998,2
1999,2
2000,6
2001,5
2002,16
2003,5
2004,18
2005,31
2006,39
2007,43
2008,64
2009,198
2010,85
2011,75
2012,94
2013,99
2014,70
2015,72
2016,65
2017,40
2018,38
