years,records
1997,1
1998,2
1999,1
2000,2
2001,0
2002,8
2003,7
2004,10
2005,10
2006,9
2007,15
2008,16
2009,50
2010,40
2011,43
2012,43
2013,56
2014,35
2015,60
2016,73
2017,87
2018,42
