years,records
1975,1
1976,0
1977,0
1978,0
1979,0
1980,0
1981,2
1982,0
1983,5
1984,22
1985,49
1986,170
1987,134
1988,190
1989,231
1990,245
1991,160
1992,120
1993,120
1994,115
1995,53
1996,39
1997,28
1998,31
1999,21
2000,22
2001,14
2002,17
2003,9
2004,47
2005,178
2006,105
2007,172
2008,554
2009,1449
2010,1078
2011,1676
2012,1467
2013,676
2014,624
2015,921
2016,770
2017,595
2018,237
