years,records
1992,1
1993,0
1994,0
1995,0
1996,0
1997,0
1998,1
1999,0
2000,1
2001,1
2002,5
2003,0
2004,2
2005,1
2006,2
2007,4
2008,3
2009,7
2010,9
2011,25
2012,28
2013,51
2014,56
2015,29
2016,28
2017,18
2018,10
