years,records
1959,1
1960,0
1961,2
1962,0
1963,0
1964,0
1965,0
1966,0
1967,1
1968,1
1969,0
1970,4
1971,0
1972,0
1973,3
1974,0
1975,1
1976,1
1977,2
1978,1
1979,0
1980,0
1981,2
1982,0
1983,1
1984,1
1985,0
1986,26
1987,18
1988,38
1989,49
1990,36
1991,47
1992,65
1993,99
1994,115
1995,108
1996,95
1997,125
1998,154
1999,140
2000,143
2001,192
2002,209
2003,311
2004,359
2005,450
2006,509
2007,560
2008,657
2009,719
2010,788
2011,916
2012,974
2013,934
2014,968
2015,1160
2016,1507
2017,1615
2018,611
