years,records
1977,1
1978,0
1979,1
1980,4
1981,12
1982,10
1983,26
1984,29
1985,37
1986,147
1987,269
1988,233
1989,197
1990,318
1991,60
1992,118
1993,211
1994,206
1995,294
1996,318
1997,268
1998,449
1999,370
2000,377
2001,515
2002,355
2003,171
2004,186
2005,118
2006,270
2007,301
2008,270
2009,252
2010,211
2011,244
2012,114
2013,120
2014,10
2015,120
2016,43
2017,7
2018,2
