years,records
1977,1
1978,0
1979,1
1980,0
1981,0
1982,0
1983,0
1984,0
1985,1
1986,2
1987,2
1988,2
1989,0
1990,0
1991,1
1992,3
1993,1
1994,2
1995,8
1996,1
1997,9
1998,5
1999,5
2000,7
2001,6
2002,7
2003,4
2004,5
2005,15
2006,19
2007,30
2008,30
2009,58
2010,31
2011,28
2012,45
2013,19
2014,40
2015,59
2016,54
2017,101
2018,49
