years,records
1997,2
1998,0
1999,1
2000,1
2001,4
2002,5
2003,6
2004,5
2005,17
2006,52
2007,110
2008,103
2009,171
2010,151
2011,138
2012,160
2013,112
2014,119
2015,165
2016,133
2017,99
2018,59
