Publication Years	records	% of 251
2018	8	3.187
2017	5	1.992
2016	7	2.789
2015	10	3.984
2014	4	1.594
2013	1	0.398
2012	4	1.594
2011	7	2.789
2010	3	1.195
2009	24	9.562
2008	17	6.773
2007	17	6.773
2006	33	13.147
2005	20	7.968
2004	47	18.725
2003	21	8.367
2002	7	2.789
2001	4	1.594
2000	7	2.789
1999	1	0.398
1998	2	0.797
1995	1	0.398
1994	1	0.398
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
