Publication Years	records	% of 1241
2018	57	4.593
2017	79	6.366
2016	94	7.575
2015	71	5.721
2014	77	6.205
2013	61	4.915
2012	86	6.930
2011	88	7.091
2010	106	8.541
2009	124	9.992
2008	99	7.977
2007	78	6.285
2006	76	6.124
2005	48	3.868
2004	48	3.868
2003	23	1.853
2002	18	1.450
2001	4	0.322
2000	2	0.161
1999	1	0.081
1998	1	0.081
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
