Publication Years	records	% of 115
2016	2	1.739
2015	4	3.478
2014	2	1.739
2013	3	2.609
2012	1	0.870
2011	9	7.826
2010	18	15.652
2009	9	7.826
2008	10	8.696
2007	15	13.043
2006	16	13.913
2005	4	3.478
2004	7	6.087
2003	4	3.478
2002	7	6.087
2000	3	2.609
1999	1	0.870
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
