Publication Years	records	% of 252
2018	8	3.175
2017	5	1.984
2016	7	2.778
2015	10	3.968
2014	4	1.587
2013	1	0.397
2012	4	1.587
2011	7	2.778
2010	3	1.190
2009	24	9.524
2008	17	6.746
2007	17	6.746
2006	33	13.095
2005	20	7.937
2004	48	19.048
2003	21	8.333
2002	7	2.778
2001	4	1.587
2000	7	2.778
1999	1	0.397
1998	2	0.794
1995	1	0.397
1994	1	0.397
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
