years,records
1982,1
1983,0
1984,1
1985,0
1986,1
1987,0
1988,3
1989,1
1990,1
1991,3
1992,2
1993,2
1994,2
1995,1
1996,5
1997,2
1998,1
1999,1
2000,11
2001,11
2002,12
2003,15
2004,23
2005,39
2006,20
2007,52
2008,49
2009,52
2010,58
2011,39
2012,43
2013,51
2014,70
2015,72
2016,92
2017,121
2018,104
