years,records
1991,1
1992,1
1993,0
1994,0
1995,0
1996,0
1997,2
1998,0
1999,1
2000,2
2001,3
2002,10
2003,10
2004,8
2005,20
2006,49
2007,74
2008,98
2009,104
2010,152
2011,155
2012,208
2013,222
2014,249
2015,363
2016,403
2017,446
2018,139
