years,records
1982,2
1983,11
1984,23
1985,25
1986,46
1987,63
1988,704
1989,590
1990,617
1991,595
1992,563
1993,580
1994,476
1995,450
1996,368
1997,467
1998,419
1999,453
2000,456
2001,417
2002,409
2003,385
2004,437
2005,450
2006,464
2007,473
2008,608
2009,599
2010,706
2011,565
2012,418
2013,363
2014,369
2015,375
2016,332
2017,360
2018,51
