years,records
1976,1
1977,0
1978,0
1979,0
1980,2
1981,3
1982,1
1983,15
1984,25
1985,74
1986,103
1987,113
1988,159
1989,142
1990,114
1991,148
1992,113
1993,123
1994,111
1995,105
1996,85
1997,88
1998,74
1999,54
2000,43
2001,50
2002,60
2003,38
2004,56
2005,24
2006,50
2007,39
2008,32
2009,27
2010,16
2011,19
2012,31
2013,22
2014,27
2015,27
2016,22
2017,29
2018,20
