years,records
1983,1
1984,0
1985,0
1986,2
1987,5
1988,5
1989,13
1990,11
1991,15
1992,10
1993,17
1994,32
1995,29
1996,32
1997,51
1998,53
1999,71
2000,100
2001,118
2002,170
2003,244
2004,398
2005,437
2006,568
2007,609
2008,526
2009,771
2010,647
2011,685
2012,833
2013,910
2014,1132
2015,1233
2016,1320
2017,1274
2018,199
