years,records
1973,1
1974,1
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,1
1982,0
1983,0
1984,0
1985,2
1986,0
1987,3
1988,42
1989,35
1990,63
1991,102
1992,85
1993,112
1994,99
1995,97
1996,97
1997,125
1998,123
1999,201
2000,195
2001,220
2002,780
2003,1003
2004,1646
2005,1889
2006,1886
2007,2076
2008,2497
2009,2973
2010,2685
2011,2166
2012,2326
2013,2252
2014,2387
2015,3155
2016,4118
2017,5395
2018,1415
