years,records
1985,1
1986,3
1987,2
1988,3
1989,1
1990,7
1991,8
1992,3
1993,2
1994,5
1995,4
1996,7
1997,5
1998,11
1999,2
2000,5
2001,7
2002,9
2003,9
2004,13
2005,10
2006,20
2007,23
2008,15
2009,18
2010,17
2011,29
2012,37
2013,21
2014,36
2015,43
2016,73
2017,139
2018,134
