years,records
1998,1
1999,0
2000,3
2001,0
2002,8
2003,1
2004,6
2005,4
2006,3
2007,5
2008,10
2009,12
2010,9
2011,18
2012,27
2013,27
2014,17
2015,42
2016,49
2017,66
2018,49
