years,records
1989,1
1990,1
1991,0
1992,0
1993,0
1994,0
1995,0
1996,2
1997,2
1998,1
1999,1
2000,1
2001,1
2002,1
2003,0
2004,1
2005,2
2006,0
2007,2
2008,2
2009,5
2010,4
2011,11
2012,23
2013,27
2014,22
2015,21
2016,25
2017,14
2018,6
