years,records
1997,1
1998,1
1999,1
2000,0
2001,5
2002,5
2003,21
2004,31
2005,26
2006,51
2007,40
2008,76
2009,58
2010,96
2011,95
2012,83
2013,85
2014,92
2015,74
2016,86
2017,70
2018,19
