years,records
1980,1
1981,3
1982,0
1983,3
1984,6
1985,6
1986,7
1987,16
1988,17
1989,24
1990,14
1991,23
1992,28
1993,30
1994,43
1995,29
1996,46
1997,39
1998,43
1999,35
2000,51
2001,45
2002,48
2003,54
2004,74
2005,88
2006,113
2007,112
2008,118
2009,135
2010,168
2011,188
2012,171
2013,190
2014,262
2015,266
2016,403
2017,675
2018,177
