years,records
1959,1
1960,0
1961,0
1962,1
1963,1
1964,1
1965,0
1966,1
1967,2
1968,1
1969,1
1970,2
1971,0
1972,0
1973,1
1974,1
1975,1
1976,1
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,2
1985,2
1986,6
1987,4
1988,8
1989,14
1990,20
1991,49
1992,77
1993,89
1994,110
1995,131
1996,131
1997,173
1998,181
1999,197
2000,235
2001,235
2002,310
2003,442
2004,595
2005,776
2006,936
2007,635
2008,845
2009,1023
2010,1154
2011,1366
2012,1547
2013,1990
2014,2353
2015,3232
2016,4212
2017,5580
2018,4467
