years,records
1982,1
1983,0
1984,4
1985,1
1986,2
1987,4
1988,0
1989,1
1990,3
1991,12
1992,4
1993,5
1994,19
1995,16
1996,19
1997,21
1998,39
1999,21
2000,24
2001,27
2002,33
2003,32
2004,38
2005,44
2006,46
2007,50
2008,50
2009,71
2010,80
2011,80
2012,113
2013,91
2014,117
2015,176
2016,237
2017,361
2018,260
