years,records
1998,2
1999,3
2000,5
2001,4
2002,23
2003,26
2004,55
2005,55
2006,77
2007,82
2008,104
2009,129
2010,111
2011,92
2012,88
2013,66
2014,79
2015,72
2016,97
2017,81
2018,60
