years,records
1994,1
1995,1
1996,0
1997,0
1998,2
1999,1
2000,7
2001,4
2002,7
2003,21
2004,48
2005,20
2006,33
2007,17
2008,17
2009,24
2010,3
2011,7
2012,4
2013,1
2014,4
2015,10
2016,7
2017,5
2018,8
