years,records
1990,3
1991,9
1992,4
1993,6
1994,12
1995,25
1996,17
1997,55
1998,47
1999,56
2000,82
2001,81
2002,142
2003,206
2004,279
2005,373
2006,382
2007,90
2008,95
2009,78
2010,64
2011,57
2012,35
2013,61
2014,59
2015,132
2016,164
2017,126
2018,126
