years,records
1994,3
1995,2
1996,2
1997,2
1998,5
1999,3
2000,4
2001,4
2002,6
2003,11
2004,13
2005,17
2006,11
2007,4
2008,4
2009,12
2010,4
2011,3
2012,5
2013,1
2014,1
2015,4
2016,4
2017,8
2018,9
