years,records
1993,1
1994,1
1995,1
1996,0
1997,3
1998,1
1999,1
2000,3
2001,1
2002,13
2003,6
2004,24
2005,16
2006,47
2007,26
2008,28
2009,47
2010,48
2011,72
2012,96
2013,120
2014,140
2015,203
2016,244
2017,370
2018,242
