years,records
1996,1
1997,2
1998,0
1999,0
2000,0
2001,1
2002,1
2003,1
2004,1
2005,0
2006,0
2007,0
2008,0
2009,1
2010,0
2011,1
2012,5
2013,3
2014,11
2015,16
2016,23
2017,16
2018,6
