years,records
1979,1
1980,0
1981,0
1982,0
1983,1
1984,0
1985,0
1986,0
1987,0
1988,2
1989,0
1990,1
1991,0
1992,0
1993,0
1994,1
1995,2
1996,2
1997,3
1998,9
1999,15
2000,16
2001,25
2002,31
2003,40
2004,71
2005,38
2006,68
2007,74
2008,106
2009,105
2010,94
2011,138
2012,160
2013,210
2014,171
2015,252
2016,282
2017,291
2018,170
