years,records
1989,6
1990,71
1991,66
1992,102
1993,92
1994,152
1995,109
1996,125
1997,117
1998,61
1999,61
2000,87
2001,63
2002,66
2003,93
2004,111
2005,68
2006,79
2007,30
2008,40
2009,22
2010,24
2011,10
2012,9
2013,5
2014,2
2015,11
2016,7
2017,6
2018,7
